Sample:

Comments:

Date: 
13.05.2026
Time: 
15:00:51
Settings at:


Variable1:
 VIN   -Ch1 
 Linear sweep
 Start      -1.0000V
 Stop        1.0000V
 Step         .0100V

Constants:
 VOUT  -Ch2   .0000V
 IINS  -Ch3   .000 A
 IOUTS -Ch4   .000 A


VIN   -Ch1 IIN   -Ch1 IOUT  -Ch2 VINS  -Ch3 VOUTS -Ch4 
  -1.0000V   -100.0mA    100.0mA   - .3640V   - .1950V
  - .9900V   -100.0mA    100.0mA   - .3650V   - .1940V
  - .9800V   -100.0mA    100.0mA   - .3640V   - .1940V
  - .9700V   -100.0mA    100.0mA   - .3640V   - .1950V
  - .9600V   -100.0mA    100.0mA   - .3640V   - .1940V
  - .9500V   -100.0mA    100.0mA   - .3640V   - .1950V
  - .9400V   -100.0mA    100.0mA   - .3640V   - .1950V
  - .9300V   -100.0mA    100.0mA   - .3640V   - .1940V
  - .9200V   -100.0mA    100.0mA   - .3640V   - .1950V
  - .9100V   -100.0mA    100.0mA   - .3640V   - .1940V
  - .9000V   -100.0mA    100.0mA   - .3640V   - .1940V
  - .8900V   -100.0mA    100.0mA   - .3640V   - .1950V
  - .8800V   -100.0mA    100.0mA   - .3640V   - .1940V
  - .8700V   -100.0mA    100.0mA   - .3640V   - .1940V
  - .8600V   -100.0mA    100.0mA   - .3640V   - .1940V
  - .8500V   -100.0mA    100.0mA   - .3640V   - .1940V
  - .8400V   -100.0mA    100.0mA   - .3640V   - .1940V
  - .8300V   -100.0mA    100.0mA   - .3640V   - .1940V
  - .8200V   -100.0mA    100.0mA   - .3640V   - .1940V
  - .8100V   -100.0mA    100.0mA   - .3640V   - .1940V
  - .8000V   -100.0mA    100.0mA   - .3640V   - .1940V
  - .7900V   -100.0mA    100.0mA   - .3640V   - .1940V
  - .7800V   -100.0mA    100.0mA   - .3640V   - .1940V
  - .7700V   -100.0mA    100.0mA   - .3640V   - .1940V
  - .7600V   -100.0mA    100.0mA   - .3640V   - .1940V
  - .7500V   -100.0mA    100.0mA   - .3630V   - .1940V
  - .7400V   -100.0mA    100.0mA   - .3640V   - .1940V
  - .7300V   -100.0mA    100.0mA   - .3630V   - .1940V
  - .7200V   -100.0mA    100.0mA   - .3630V   - .1940V
  - .7100V   -98.67mA    98.69mA   - .3590V   - .1910V
  - .7000V   -97.30mA    97.32mA   - .3530V   - .1880V
  - .6900V   -95.92mA    95.94mA   - .3480V   - .1850V
  - .6800V   -94.55mA    94.57mA   - .3440V   - .1820V
  - .6700V   -93.16mA    93.18mA   - .3380V   - .1790V
  - .6600V   -91.77mA    91.80mA   - .3330V   - .1760V
  - .6500V   -90.39mA    90.40mA   - .3270V   - .1730V
  - .6400V   -88.99mA    89.02mA   - .3230V   - .1700V
  - .6300V   -87.61mA    87.63mA   - .3170V   - .1660V
  - .6200V   -86.22mA    86.25mA   - .3120V   - .1630V
  - .6100V   -84.83mA    84.84mA   - .3070V   - .1600V
  - .6000V   -83.44mA    83.45mA   - .3020V   - .1580V
  - .5900V   -82.03mA    82.05mA   - .2960V   - .1550V
  - .5800V   -80.64mA    80.66mA   - .2920V   - .1520V
  - .5700V   -79.23mA    79.24mA   - .2860V   - .1490V
  - .5600V   -77.82mA    77.84mA   - .2810V   - .1460V
  - .5500V   -76.42mA    76.44mA   - .2760V   - .1430V
  - .5400V   -75.02mA    75.04mA   - .2720V   - .1410V
  - .5300V   -73.62mA    73.63mA   - .2650V   - .1370V
  - .5200V   -72.21mA    72.22mA   - .2600V   - .1340V
  - .5100V   -70.80mA    70.80mA   - .2550V   - .1320V
  - .5000V   -69.37mA    69.39mA   - .2500V   - .1290V
  - .4900V   -67.96mA    67.97mA   - .2450V   - .1260V
  - .4800V   -66.55mA    66.55mA   - .2400V   - .1240V
  - .4700V   -65.14mA    65.15mA   - .2350V   - .1210V
  - .4600V   -63.72mA    63.72mA   - .2290V   - .1180V
  - .4500V   -62.31mA    62.32mA   - .2250V   - .1150V
  - .4400V   -60.89mA    60.90mA   - .2200V   - .1120V
  - .4300V   -59.47mA    59.47mA   - .2140V   - .1090V
  - .4200V   -58.06mA    58.07mA   - .2090V   - .1070V
  - .4100V   -56.63mA    56.64mA   - .2040V   - .1040V
  - .4000V   -55.23mA    55.23mA   - .1990V   - .1010V
  - .3900V   -53.81mA    53.83mA   - .1930V   - .0990V
  - .3800V   -52.42mA    52.43mA   - .1890V   - .0960V
  - .3700V   -51.01mA    51.03mA   - .1840V   - .0930V
  - .3600V   -49.61mA    49.62mA   - .1790V   - .0910V
  - .3500V   -48.20mA    48.22mA   - .1740V   - .0880V
  - .3400V   -46.80mA    46.82mA   - .1690V   - .0850V
  - .3300V   -45.40mA    45.40mA   - .1630V   - .0820V
  - .3200V   -43.99mA    44.00mA   - .1590V   - .0800V
  - .3100V   -42.59mA    42.60mA   - .1540V   - .0770V
  - .3000V   -41.20mA    41.20mA   - .1480V   - .0750V
  - .2900V   -39.82mA    39.82mA   - .1430V   - .0720V
  - .2800V   -38.42mA    38.42mA   - .1380V   - .0700V
  - .2700V   -37.03mA    37.04mA   - .1340V   - .0670V
  - .2600V   -35.63mA    35.63mA   - .1270V   - .0640V
  - .2500V   -34.25mA    34.25mA   - .1240V   - .0620V
  - .2400V   -32.86mA    32.87mA   - .1180V   - .0590V
  - .2300V   -31.47mA    31.47mA   - .1130V   - .0560V
  - .2200V   -30.08mA    30.09mA   - .1080V   - .0550V
  - .2100V   -28.70mA    28.70mA   - .1040V   - .0520V
  - .2000V   -27.31mA    27.31mA   - .0990V   - .0490V
  - .1900V   -25.93mA    25.93mA   - .0930V   - .0470V
  - .1800V   -24.55mA    24.56mA   - .0890V   - .0440V
  - .1700V   -23.18mA    23.18mA   - .0840V   - .0420V
  - .1600V   -21.79mA    21.79mA   - .0790V   - .0390V
  - .1500V   -20.42mA    20.42mA   - .0740V   - .0370V
  - .1400V   -19.04mA    19.04mA   - .0690V   - .0340V
  - .1300V   -17.66mA    17.67mA   - .0640V   - .0320V
  - .1200V   -16.29mA    16.30mA   - .0590V   - .0300V
  - .1100V   -14.92mA    14.93mA   - .0540V   - .0270V
