Sample:

Comments:

Date: 
11.05.2026
Time: 
14:11:36
Settings at:


Variable1:
 VIN   -Ch1 
 Linear sweep
 Start      -1.0000V
 Stop        1.0000V
 Step         .0100V

Constants:
 VOUT  -Ch2   .0000V
 IINS  -Ch3   .000 A
 IOUTS -Ch4   .000 A


VIN   -Ch1 IIN   -Ch1 IOUT  -Ch2 VINS  -Ch3 VOUTS -Ch4 
  -1.0000V   -100.0mA    100.0mA   - .1520V   - .0780V
  - .9900V   -100.0mA    100.0mA   - .1510V   - .0780V
  - .9800V   -100.0mA    100.0mA   - .1510V   - .0790V
  - .9700V   -100.0mA    100.0mA   - .1510V   - .0780V
  - .9600V   -100.0mA    100.0mA   - .1540V   - .0800V
  - .9500V   -100.0mA    100.0mA   - .1530V   - .0800V
  - .9400V   -100.0mA    100.0mA   - .1530V   - .0800V
  - .9300V   -100.0mA    100.0mA   - .1530V   - .0800V
  - .9200V   -100.0mA    100.0mA   - .1530V   - .0800V
  - .9100V   -100.0mA    100.0mA   - .1530V   - .0790V
  - .9000V   -100.0mA    100.0mA   - .1530V   - .0800V
  - .8900V   -100.0mA    100.0mA   - .1530V   - .0800V
  - .8800V   -100.0mA    100.0mA   - .1530V   - .0800V
  - .8700V   -100.0mA    100.0mA   - .1530V   - .0790V
  - .8600V   -100.0mA    100.0mA   - .1530V   - .0790V
  - .8500V   -100.0mA    100.0mA   - .1530V   - .0800V
  - .8400V   -100.0mA    100.0mA   - .1530V   - .0790V
  - .8300V   -100.0mA    100.0mA   - .1520V   - .0800V
  - .8200V   -100.0mA    100.0mA   - .1530V   - .0790V
  - .8100V   -100.0mA    100.0mA   - .1530V   - .0790V
  - .8000V   -100.0mA    100.0mA   - .1520V   - .0790V
  - .7900V   -100.0mA    100.0mA   - .1520V   - .0790V
  - .7800V   -100.0mA    100.0mA   - .1520V   - .0790V
  - .7700V   -100.0mA    100.0mA   - .1520V   - .0790V
  - .7600V   -100.0mA    100.0mA   - .1530V   - .0790V
  - .7500V   -100.0mA    100.0mA   - .1520V   - .0790V
  - .7400V   -100.0mA    100.0mA   - .1520V   - .0790V
  - .7300V   -100.0mA    100.0mA   - .1520V   - .0790V
  - .7200V   -100.0mA    100.0mA   - .1520V   - .0790V
  - .7100V   -100.0mA    100.0mA   - .1530V   - .0790V
  - .7000V   -100.0mA    100.0mA   - .1530V   - .0790V
  - .6900V   -100.0mA    100.0mA   - .1520V   - .0790V
  - .6800V   -100.0mA    100.0mA   - .1520V   - .0790V
  - .6700V   -100.0mA    100.0mA   - .1520V   - .0790V
  - .6600V   -100.0mA    100.0mA   - .1520V   - .0790V
  - .6500V   -100.0mA    100.0mA   - .1520V   - .0790V
  - .6400V   -100.0mA    100.0mA   - .1520V   - .0780V
  - .6300V   -100.0mA    100.0mA   - .1520V   - .0790V
