Sample:

Comments:

Date: 
11.05.2026
Time: 
13:21:01
Settings at:


Variable1:
 VIN   -Ch1 
 Linear sweep
 Start      -1.0000V
 Stop        1.0000V
 Step         .0100V

Constants:
 VOUT  -Ch2   .0000V
 IINS  -Ch3   .000 A
 IOUTS -Ch4   .000 A


VIN   -Ch1 IIN   -Ch1 IOUT  -Ch2 VINS  -Ch3 VOUTS -Ch4 
  -1.0000V   -100.0mA    100.0mA   - .2070V   - .1710V
  - .9900V   -100.0mA    100.0mA   - .2070V   - .1710V
  - .9800V   -100.0mA    100.0mA   - .2070V   - .1700V
  - .9700V   -100.0mA    100.0mA   - .2070V   - .1700V
  - .9600V   -100.0mA    100.0mA   - .2070V   - .1700V
  - .9500V   -100.0mA    100.0mA   - .2070V   - .1700V
  - .9400V   -100.0mA    100.0mA   - .2070V   - .1700V
  - .9300V   -100.0mA    100.0mA   - .2080V   - .1710V
  - .9200V   -100.0mA    100.0mA   - .2070V   - .1710V
  - .9100V   -100.0mA    100.0mA   - .2080V   - .1700V
  - .9000V   -100.0mA    100.0mA   - .2070V   - .1700V
  - .8900V   -100.0mA    100.0mA   - .2070V   - .1710V
  - .8800V   -100.0mA    100.0mA   - .2070V   - .1700V
  - .8700V   -100.0mA    100.0mA   - .2070V   - .1700V
  - .8600V   -100.0mA    100.0mA   - .2070V   - .1700V
  - .8500V   -100.0mA    100.0mA   - .2070V   - .1700V
  - .8400V   -100.0mA    100.0mA   - .2070V   - .1700V
  - .8300V   -100.0mA    100.0mA   - .2070V   - .1710V
  - .8200V   -100.0mA    100.0mA   - .2070V   - .1700V
  - .8100V   -100.0mA    100.0mA   - .2070V   - .1710V
  - .8000V   -100.0mA    100.0mA   - .2070V   - .1700V
  - .7900V   -100.0mA    100.0mA   - .2070V   - .1700V
  - .7800V   -100.0mA    100.0mA   - .2070V   - .1710V
  - .7700V   -100.0mA    100.0mA   - .2080V   - .1700V
  - .7600V   -100.0mA    100.0mA   - .2070V   - .1700V
  - .7500V   -100.0mA    100.0mA   - .2080V   - .1700V
  - .7400V   -100.0mA    100.0mA   - .2080V   - .1710V
  - .7300V   -100.0mA    100.0mA   - .2080V   - .1700V
  - .7200V   -100.0mA    100.0mA   - .2070V   - .1700V
  - .7100V   -100.0mA    100.0mA   - .2080V   - .1700V
  - .7000V   -100.0mA    100.0mA   - .2070V   - .1700V
  - .6900V   -100.0mA    100.0mA   - .2070V   - .1710V
  - .6800V   -100.0mA    100.0mA   - .2080V   - .1700V
  - .6700V   -100.0mA    100.0mA   - .2070V   - .1700V
