Sample:

Comments:

Date: 
08.05.2026
Time: 
15:00:23
Settings at:


Variable1:
 VIN   -Ch1 
 Linear sweep
 Start      -1.0000V
 Stop        1.0000V
 Step         .0100V

Constants:
 VOUT  -Ch2   .0000V
 IINS  -Ch3   .000 A
 IOUTS -Ch4   .000 A


VIN   -Ch1 IIN   -Ch1 IOUT  -Ch2 VINS  -Ch3 VOUTS -Ch4 
  -1.0000V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .9900V   -100.0mA    100.0mA   - .0850V   - .0550V
  - .9800V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .9700V   -100.0mA    100.0mA   - .0850V   - .0550V
  - .9600V   -100.0mA    100.0mA   - .0850V   - .0550V
  - .9500V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .9400V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .9300V   -100.0mA    100.0mA   - .0850V   - .0550V
  - .9200V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .9100V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .9000V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .8900V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .8800V   -100.0mA    100.0mA   - .0850V   - .0550V
  - .8700V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .8600V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .8500V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .8400V   -100.0mA    100.0mA   - .0850V   - .0550V
  - .8300V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .8200V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .8100V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .8000V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .7900V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .7800V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .7700V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .7600V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .7500V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .7400V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .7300V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .7200V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .7100V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .7000V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .6900V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .6800V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .6700V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .6600V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .6500V   -100.0mA    100.0mA   - .0850V   - .0550V
  - .6400V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .6300V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .6200V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .6100V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .6000V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .5900V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .5800V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .5700V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .5600V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .5500V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .5400V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .5300V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .5200V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .5100V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .5000V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .4900V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .4800V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .4700V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .4600V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .4500V   -100.0mA    100.0mA   - .0850V   - .0550V
  - .4400V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .4300V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .4200V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .4100V   -100.0mA    100.0mA   - .0860V   - .0550V
  - .4000V   -100.0mA    100.0mA   - .0850V   - .0550V
