	Raman shift	Intensity	Baseline	Corrected Intensity	Curve 1	Curve 2	Curve 3	Curve 4	Curve 5	Fit Sum
0.0	51.3771	6086.89	6509.423280498872	-422.53328049887205	0.1983165074990453	0.36974471167188283	2.523311042535895E-274	2.15099509779405	0.06209135714075626	2.7811476741057346
1.0	55.1338	6086.89	6574.734792652514	-487.8447926525141	0.19953367909823894	0.3718917127086527	8.324263494396344E-273	2.161599940206917	0.06237771268484043	2.7954030446986495
2.0	58.889	6951.22	6640.042083698722	311.17791630127795	0.20076159519391434	0.37405659603242597	2.7160559547116217E-271	2.1722790974122983	0.06266593804117057	2.809763226679809
3.0	62.6428	8128.78	6705.336058960578	1423.4439410394216	0.2020004139533161	0.37623961614142304	8.765861674004713E-270	2.1830335398202165	0.06295605694862734	2.824229626863583
4.0	66.395	9092.0	6770.607626872942	2321.392373127058	0.20325019620136203	0.3784408554972262	2.7979382807299843E-268	2.1938633851075666	0.06324807010332402	2.838802506909479
5.0	70.1436	10884.3	6835.847710105112	4048.452289894887	0.20451039420218478	0.3806593252221489	8.81609459317224E-267	2.2047634881851477	0.06354183638843067	2.853475043997912
6.0	73.8928	12981.9	6901.047254540304	6080.852745459696	0.2057825503845713	0.3828977150820505	2.7529151139400523E-265	2.215746767934366	0.06383770143553605	2.868264734836524
7.0	77.6406	15209.0	6966.197246546247	8242.802753453754	0.20706612890293855	0.3851550552708449	8.503387157030494E-264	2.2268081516142932	0.06413552589488046	2.8831648616829573
8.0	81.3868	18741.1	7031.2887332992	11709.811266700799	0.20836119565808803	0.3874314352540385	2.5977606262902153E-262	2.2379477718726464	0.0644353107270981	2.898175713511871
9.0	85.1315	23481.9	7096.31284440344	16385.58715559656	0.20966792111136826	0.3897271278259142	7.849810081092719E-261	2.249166654017448	0.06473708088544061	2.913298783840171
10.0	88.8748	31815.8	7161.260826561353	24654.539173438647	0.21098647903637865	0.3920424108949333	2.3464773353200003E-259	2.260465840763381	0.06504086173116001	2.928535592425853
11.0	92.6144	42149.1	7226.124090331195	34922.97590966881	0.21231618918226458	0.3943760632218649	6.924248106066759E-258	2.2718390659298446	0.065346482208805	2.943877800542779
12.0	96.3546	46285.9	7290.894292816615	38995.00570718339	0.2136587224673605	0.39673098906935067	2.024991986355734E-256	2.2833001602949414	0.06565431123380965	2.959344183065462
13.0	100.093	45255.9	7355.5634403510185	37900.33655964898	0.21501337110332308	0.39910591728262523	5.856385944268114E-255	2.2948425972006277	0.06596417061272683	2.974926056199303
