;Raman shift;Intensity;Baseline;Corrected Intensity
0;51.3771;6280.44;6693.423725489717;-412.9837254897175
1;55.1338;6280.44;6760.854263387121;-480.41426338712154
2;58.889;7099.78;6828.280675577136;271.49932442286354
3;62.6428;8402.89;6895.694037013883;1507.1959629861167
4;66.395;9423.56;6963.085425366468;2460.474574633531
5;70.1436;10901.4;7030.4459333759605;3870.954066624039
6;73.8928;13114.2;7097.766678388168;6016.433321611833
7;77.6406;15178.7;7165.038816458429;8013.6611835415715
8;81.3868;18757.3;7232.253563806417;11525.046436193581
9;85.1315;24054.8;7299.402216788407;16755.397783211592
10;88.8748;32400.2;7366.476187011134;25033.723812988865
11;92.6144;40493.7;7433.467053635317;33060.23294636468
12;96.3546;43546.9;7500.366646158904;36046.5333538411
13;100.093;42447.3;7567.167124682169;34880.13287531783
14;103.831;34874.9;7633.861009770725;27241.038990229277
15;107.564;27001.6;7700.441170791511;19301.15882920849
16;111.298;23166.2;7766.900749521846;15399.299250478154
17;115.031;21783.1;7833.233080750643;13949.866919249354
18;118.763;21237.6;7899.431653259803;13338.168346740196
19;122.49;21606.3;7965.490095329887;13640.809904670114
20;126.218;23027.4;8031.402168623136;14995.997831376866
21;129.945;26524.0;8097.161771209886;18426.838228790115
22;133.668;30730.9;8162.76295112044;22568.137048879562
23;137.392;32646.8;8228.199940653492;24418.600059346507
24;141.115;33257.6;8293.467197789105;24964.132802210894
25;144.833;30432.6;8358.559424693334;22074.040575306666
26;148.553;26334.3;8423.471573173565;17910.828426826432
27;152.271;23414.6;8488.198815777585;14926.401184222414
28;155.985;21660.9;8552.736504161465;13108.163495838537
29;159.7;20524.0;8617.080139245283;11906.919860754717
30;163.413;20378.0;8681.22535303075;11696.77464696925
31;167.123;20743.4;8745.16789658877;11998.232103411232
32;170.834;21593.3;8808.903637957997;12784.396362042002
33;174.543;22949.6;8872.428565159405;14077.171434840593
34;178.248;23658.2;8935.738794057923;14722.461205942078
35;181.954;23475.6;8998.830581290185;14476.769418709813
36;185.657;22210.9;9061.700330717438;13149.199669282563
37;189.36;20319.6;9124.344590968614;11195.255409031384
38;193.059;18844.1;9186.760042164635;9657.339957835364
39;196.759;17947.1;9248.943476378972;8698.156523621026
40;200.458;17931.3;9310.891782258495;8620.408217741504
41;204.153;18432.1;9372.601935431627;9059.498064568372
42;207.849;18886.6;9434.070997730872;9452.529002269126
43;211.541;18929.3;9495.296121583715;9434.003878416284
44;215.234;18579.7;9556.274553942929;9023.425446057072
45;218.923;17900.9;9617.003636101317;8283.896363898684
46;222.613;17097.7;9677.480799585936;7420.219200414065
47;226.299;16640.2;9737.703558762792;6902.496441237208
48;229.986;16436.9;9797.669502200084;6639.230497799917
49;233.67;16305.1;9857.37628749097;6447.7237125090305
50;237.354;16231.6;9916.821638620906;6314.778361379094
51;241.034;16119.1;9976.003344052579;6143.096655947422
52;244.715;16121.6;10034.919255396453;6086.680744603547
53;248.393;16122.6;10093.567285693955;6029.032714306046
54;252.069;16040.4;10151.945408853313;5888.454591146687
55;255.746;16153.0;10210.051659073079;5942.948340926921
56;259.419;16097.8;10267.884129436346;5829.915870563653
57;263.093;16098.7;10325.440972455695;5773.259027544305
58;266.763;16285.4;10382.72039894286;5902.67960105714
59;270.432;16315.4;10439.720677442157;5875.679322557842
60;274.101;16427.3;10496.4401355247;5930.8598644753
61;277.767;16493.2;10552.877159518393;5940.322840481607
62;281.434;16656.3;10609.030195059739;6047.269804940261
63;285.097;16828.2;10664.897747188454;6163.302252811547
64;288.758;16818.9;10720.478381416942;6098.421618583059
65;292.42;16949.7;10775.770724890624;6173.929275109376
66;296.079;16872.7;10830.773465739137;6041.926534260863
67;299.736;16913.7;10885.485353831398;6028.2146461686025
68;303.394;16700.1;10939.905199455583;5760.194800544416
69;307.048;16615.8;10994.03187318201;5621.7681268179895
70;310.701;16544.3;11047.864303182942;5496.435696817058
71;314.353;16421.9;11101.40147384831;5320.498526151692
72;318.005;16378.3;11154.642424532392;5223.657575467607
73;321.653;16380.9;11207.586247794454;5173.313752205546
74;325.3;16390.2;11260.232088430332;5129.967911569669
75;328.948;16380.0;11312.579142968996;5067.420857031004
76;332.592;16472.0;11364.62665923909;5107.373340760911
77;336.235;16512.0;11416.37393574345;5095.62606425655
78;339.876;16641.4;11467.820322058651;5173.57967794135
79;343.516;16833.1;11518.965218717522;5314.134781282477
80;347.157;17053.0;11569.808077988679;5483.191922011321
81;350.794;17234.4;11620.34840528209;5614.051594717912
82;354.43;17557.2;11670.585760839635;5886.614239160366
83;358.064;17662.8;11720.519761043704;5942.280238956295
84;361.697;17811.0;11770.150081142823;6040.849918857177
85;365.33;17695.9;11819.476455808315;5876.423544191686
86;368.96;17540.8;11868.49868011999;5672.301319880009
87;372.588;17218.4;11917.21660792189;5301.183392078112
88;376.215;16861.9;11965.630149781062;4896.26985021894
