	Raman shift	Intensity	Baseline	Corrected Intensity	Curve 1	Curve 2	Curve 3	Curve 4	Curve 5	Fit Sum
0.0	51.3771	6280.44	6693.423725489717	-412.9837254897175	0.0	0.0	1.0096843521998235E-70	0.0	0.0	1.0096843521998235E-70
1.0	55.1338	6280.44	6760.854263387121	-480.41426338712154	0.0	0.0	2.5779314548993388E-70	0.0	0.0	2.5779314548993388E-70
2.0	58.889	7099.78	6828.280675577136	271.49932442286354	0.0	0.0	6.562365723353304E-70	0.0	0.0	6.562365723353304E-70
3.0	62.6428	8402.89	6895.694037013883	1507.1959629861167	0.0	0.0	1.6655778582986555E-69	0.0	0.0	1.6655778582986555E-69
4.0	66.395	9423.56	6963.085425366468	2460.474574633531	0.0	0.0	4.214680891560466E-69	0.0	0.0	4.214680891560466E-69
5.0	70.1436	10901.4	7030.4459333759605	3870.954066624039	0.0	0.0	1.0627892368073245E-68	0.0	0.0	1.0627892368073245E-68
6.0	73.8928	13114.2	7097.766678388168	6016.433321611833	0.0	0.0	2.6733984751072173E-68	0.0	0.0	2.6733984751072173E-68
7.0	77.6406	15178.7	7165.038816458429	8013.6611835415715	0.0	0.0	6.705034203344743E-68	0.0	0.0	6.705034203344743E-68
8.0	81.3868	18757.3	7232.253563806417	11525.046436193581	0.0	0.0	1.6766372007100298E-67	0.0	0.0	1.6766372007100298E-67
9.0	85.1315	24054.8	7299.402216788407	16755.397783211592	0.0	0.0	4.180132257219901E-67	0.0	0.0	4.180132257219901E-67
10.0	88.8748	32400.2	7366.476187011134	25033.723812988865	0.0	0.0	1.0391199363908697E-66	0.0	0.0	1.0391199363908697E-66
11.0	92.6144	40493.7	7433.467053635317	33060.23294636468	0.0	0.0	2.57409973941347E-66	0.0	0.0	2.57409973941347E-66
12.0	96.3546	43546.9	7500.366646158904	36046.5333538411	0.0	0.0	6.360972216682869E-66	0.0	0.0	6.360972216682869E-66
13.0	100.093	42447.3	7567.167124682169	34880.13287531783	0.0	0.0	1.5671425012003296E-65	0.0	0.0	1.5671425012003296E-65
14.0	103.831	34874.9	7633.861009770725	27241.038990229277	0.0	0.0	3.850596208205356E-65	0.0	0.0	3.850596208205356E-65
15.0	107.564	27001.6	7700.441170791511	19301.15882920849	0.0	0.0	9.425490282863249E-65	0.0	0.0	9.425490282863249E-65
16.0	111.298	23166.2	7766.900749521846	15399.299250478154	0.0	0.0	2.3017761131420227E-64	0.0	0.0	2.3017761131420227E-64
17.0	115.031	21783.1	7833.233080750643	13949.866919249354	0.0	0.0	5.605284678160623E-64	0.0	0.0	5.605284678160623E-64
18.0	118.763	21237.6	7899.431653259803	13338.168346740196	0.0	0.0	1.3611583029780377E-63	0.0	0.0	1.3611583029780377E-63
19.0	122.49	21606.3	7965.490095329887	13640.809904670114	0.0	0.0	3.2929541624162464E-63	0.0	0.0	3.2929541624162464E-63
20.0	126.218	23027.4	8031.402168623136	14995.997831376866	0.0	0.0	7.947824912405194E-63	0.0	0.0	7.947824912405194E-63
21.0	129.945	26524.0	8097.161771209886	18426.838228790115	0.0	0.0	1.9128951362300973E-62	0.0	0.0	1.9128951362300973E-62
22.0	133.668	30730.9	8162.76295112044	22568.137048879562	0.0	0.0	4.587853169051087E-62	0.0	0.0	4.587853169051087E-62
23.0	137.392	32646.8	8228.199940653492	24418.600059346507	0.0	0.0	1.0977789835688567E-61	0.0	0.0	1.0977789835688567E-61
24.0	141.115	33257.6	8293.467197789105	24964.132802210894	0.0	0.0	2.6194123763403673E-61	0.0	0.0	2.6194123763403673E-61
25.0	144.833	30432.6	8358.559424693334	22074.040575306666	0.0	0.0	6.226920234675196E-61	0.0	0.0	6.226920234675196E-61
26.0	148.553	26334.3	8423.471573173565	17910.828426826432	0.0	0.0	1.4771771420299097E-60	0.0	0.0	1.4771771420299097E-60
27.0	152.271	23414.6	8488.198815777585	14926.401184222414	0.0	0.0	3.493641248918248E-60	0.0	0.0	3.493641248918248E-60
28.0	155.985	21660.9	8552.736504161465	13108.163495838537	0.0	0.0	8.234023003060151E-60	0.0	0.0	8.234023003060151E-60
29.0	159.7	20524.0	8617.080139245283	11906.919860754717	0.0	0.0	1.9361388003004896E-59	0.0	0.0	1.9361388003004896E-59
30.0	163.413	20378.0	8681.22535303075	11696.77464696925	0.0	0.0	4.538915874943473E-59	0.0	0.0	4.538915874943473E-59
31.0	167.123	20743.4	8745.16789658877	11998.232103411232	0.0	0.0	1.0606243572335081E-58	0.0	0.0	1.0606243572335081E-58
32.0	170.834	21593.3	8808.903637957997	12784.396362042002	0.0	0.0	2.4726531204393895E-58	0.0	0.0	2.4726531204393895E-58
33.0	174.543	22949.6	8872.428565159405	14077.171434840593	0.0	0.0	5.747251533636289E-58	0.0	0.0	5.747251533636289E-58
34.0	178.248	23658.2	8935.738794057923	14722.461205942078	0.0	0.0	1.3312443931020315E-57	0.0	0.0	1.3312443931020315E-57
35.0	181.954	23475.6	8998.830581290185	14476.769418709813	0.0	0.0	3.0764481581733924E-57	0.0	0.0	3.0764481581733924E-57
36.0	185.657	22210.9	9061.700330717438	13149.199669282563	0.0	0.0	7.086697176522118E-57	0.0	0.0	7.086697176522118E-57
37.0	189.36	20319.6	9124.344590968614	11195.255409031384	0.0	0.0	1.6283042235679922E-56	0.0	0.0	1.6283042235679922E-56
38.0	193.059	18844.1	9186.760042164635	9657.339957835364	0.0	0.0	3.728517109545544E-56	0.0	0.0	3.728517109545544E-56
39.0	196.759	17947.1	9248.943476378972	8698.156523621026	0.0	0.0	8.51791566076368E-56	0.0	0.0	8.51791566076368E-56
40.0	200.458	17931.3	9310.891782258495	8620.408217741504	0.0	0.0	1.9405873267792986E-55	0.0	0.0	1.9405873267792986E-55
41.0	204.153	18432.1	9372.601935431627	9059.498064568372	0.0	0.0	4.406034687595723E-55	0.0	0.0	4.406034687595723E-55
42.0	207.849	18886.6	9434.070997730872	9452.529002269126	0.0	0.0	9.98069361190501E-55	0.0	0.0	9.98069361190501E-55
43.0	211.541	18929.3	9495.296121583715	9434.003878416284	0.0	0.0	2.2531627446607052E-54	0.0	0.0	2.2531627446607052E-54
44.0	215.234	18579.7	9556.274553942929	9023.425446057072	0.0	0.0	5.074855473870924E-54	0.0	0.0	5.074855473870924E-54
45.0	218.923	17900.9	9617.003636101317	8283.896363898684	0.0	0.0	1.1391422982510814E-53	0.0	0.0	1.1391422982510814E-53
46.0	222.613	17097.7	9677.480799585936	7420.219200414065	0.0	0.0	2.551130905602775E-53	0.0	0.0	2.551130905602775E-53
