;Raman shift;Intensity;Baseline;Corrected Intensity
0;51.3749;6322.0;6714.884291317926;-392.884291317926
1;55.1317;6322.0;6791.193021206277;-469.1930212062771
2;58.8869;6884.78;6867.497826180568;17.28217381943159
3;62.6406;8172.22;6943.790094088455;1228.4299059115456
4;66.3907;9665.22;7020.0612129504125;2645.158787049587
5;70.1415;12259.1;7096.302583071212;5162.797416928788
6;73.8907;15333.7;7172.505631207206;8161.194368792795
7;77.6384;17887.6;7248.661835742715;10638.938164257284
8;81.3847;21038.7;7324.762756674003;13713.937243325998
9;85.1273;24924.0;7400.800060386703;17523.199939613296
10;88.8705;28995.7;7476.765550405819;21518.93444959418
11;92.6122;31664.1;7552.651205488355;24111.44879451164
12;96.3525;31842.2;7628.449219580659;24213.75078041934
13;100.091;30189.3;7704.15202774356;22485.14797225644
14;103.826;28687.6;7779.752307175399;20907.8476928246
15;107.562;27819.0;7855.242959925994;19963.757040074008
16;111.296;26738.3;7930.61709712363;18807.682902876368
17;115.029;25748.6;8005.8680295341655;17742.731970465833
18;118.758;25122.0;8080.989256000284;17041.010743999715
19;122.488;25022.9;8155.974452791979;16866.925547208022
20;126.216;25116.2;8230.817466589353;16885.382533410648
21;129.941;25457.3;8305.512312741754;17151.787687258246
22;133.666;25691.7;8380.053175452358;17311.646824547643
23;137.39;25331.7;8454.434410442216;16877.265589557785
24;141.113;24356.7;8528.650546548844;15828.049453451156
25;144.831;23067.6;8602.696281382414;14464.903718617585
26;148.551;22087.6;8676.566470833583;13411.033529166416
27;152.269;21392.2;8750.256115442045;12641.943884557955
28;155.983;20851.2;8823.760349857836;12027.439650142165
29;159.698;20616.6;8897.07443515042;11719.525564849579
30;163.409;20438.7;8970.193752663656;11468.506247336345
31;167.121;20359.7;9043.113800936653;11316.586199063348
32;170.832;20423.8;9115.830193193588;11307.969806806412
33;174.538;20476.8;9188.338655824498;11288.461344175501
34;178.246;20365.9;9260.635028299113;11105.264971700888
35;181.952;19905.8;9332.715262971768;10573.084737028232
36;185.655;19721.6;9404.575423249442;10317.024576750557
37;189.358;19968.3;9476.211678269954;10492.088321730045
38;193.057;21379.7;9547.62030034136;11832.079699658641
39;196.757;24757.4;9618.797666692592;15138.60233330741
40;200.454;32495.9;9689.740272873374;22806.15972712663
41;204.151;35469.6;9760.44476581945;25709.15523418055
42;207.845;27672.1;9830.908020528152;17841.19197947185
43;211.539;20197.1;9901.127169088366;10295.972830911633
44;215.23;18165.4;9971.099522000892;8194.30047799911
45;218.921;17588.0;10040.822492726258;7547.177507273742
46;222.609;17364.2;10110.293576667993;7253.906423332008
47;226.297;17103.6;10179.510344701388;6924.0896552986105
48;229.982;16989.0;10248.470440240795;6740.529559759205
49;233.668;16980.1;10317.17157594146;6662.928424058538
50;237.35;16915.7;10385.611531863922;6530.0884681360785
51;241.032;16826.6;10453.788154697992;6372.811845302007
52;244.711;16745.2;10521.699356434363;6223.500643565638
53;248.391;16776.3;10589.34311279184;6186.95688720816
54;252.067;16785.9;10656.717461724222;6129.18253827578
55;255.744;16794.3;10723.820503054878;6070.479496945121
56;259.417;17020.2;10790.650397898997;6229.549602101004
57;263.089;17115.9;10857.205368076566;6258.694631923436
58;266.761;17190.8;10923.483697703072;6267.3163022969275
59;270.43;17239.2;10989.483733480933;6249.716266519068
60;274.099;17033.0;11055.203884785722;5977.796115214278
61;277.765;17004.1;11120.642623490183;5883.457376509816
62;281.43;17025.3;11185.79848124501;5839.501518754989
63;285.095;17072.0;11250.670048535467;5821.329951464533
64;288.756;17111.4;11315.255974241818;5796.1440257581835
65;292.416;17105.7;11379.554965457626;5726.145034542375
66;296.077;16982.4;11443.56578723789;5538.834212762111
67;299.734;16943.3;11507.287261899051;5436.012738100948
68;303.39;16793.8;11570.718267145883;5223.081732854116
69;307.046;16836.3;11633.857735043277;5202.442264956722
70;310.699;16661.0;11696.70464988694;4964.29535011306
71;314.351;16701.4;11759.258047996995;4942.141952003007
72;318.003;16535.2;11821.5170153365;4713.682984663501
73;321.651;16453.8;11883.480687289935;4570.319312710064
74;325.298;16421.9;11945.148246378609;4476.751753621393
75;328.944;16477.8;12006.51892082702;4471.281079172979
76;332.59;16544.0;12067.591983627173;4476.408016372827
77;336.233;16666.8;12128.366752483873;4538.433247516126
78;339.874;16585.4;12188.842589866004;4396.557410133997
79;343.514;16607.3;12249.018903626784;4358.281096373215
80;347.153;16754.9;12308.895145584998;4446.004854415003
81;350.792;16891.9;12368.470811142233;4523.429188857768
82;354.428;16976.9;12427.745440160124;4549.154559839877
83;358.062;17140.0;12486.718617734594;4653.281382265406
84;361.694;17171.1;12545.389974453095;4625.710025546903
85;365.326;17256.1;12603.759187435893;4652.340812564105
86;368.958;17147.0;12661.825980060343;4485.174019939657
87;372.586;17058.7;12719.590122227204;4339.109877772797
88;376.213;16899.6;12777.051428688967;4122.548571311032
89;379.839;16637.2;12834.209757589215;3802.990242410786
90;383.463;16630.6;12891.065008297008;3739.5349917029907
91;387.086;16543.6;12947.617118211308;3595.98288178869
92;390.707;16500.6;13003.866062126413;3496.733937873585
93;394.327;16557.3;13059.811850796443;3497.4881492035565
94;397.947;16508.8;13115.45452994285;3393.345470057149
95;401.564;16412.1;13170.794180261959;3241.3058197380396
96;405.18;16470.1;13225.83091638354;3244.2690836164584
97;408.794;16436.0;13280.56488535042;3155.435114649579
98;412.407;16307.8;13334.996266648119;2972.8037333518805
99;416.018;16481.8;13389.125271316498;3092.6747286835016
100;419.628;16474.9;13442.95214012344;3031.947859876562
101;423.237;16465.0;13496.477144763569;2968.5228552364315
102;426.844;16584.3;13549.700587250987;3034.599412749012
103;430.449;16548.2;13602.622799285022;2945.577200714979
104;434.054;16624.7;13655.244142910977;2969.455857089024
105;437.657;16663.9;13707.565009629921;2956.33499037008
106;441.258;16727.4;13759.585820637483;2967.814179362518
107;444.858;16716.8;13811.30702669263;2905.4929733073695
108;448.457;16720.7;13862.729108232463;2857.970891767538
109;452.054;16744.2;13913.852574749008;2830.347425250993
110;455.65;16795.7;13964.677964313989;2831.022035686012
111;459.244;16844.0;14015.205843302607;2828.794156697393
112;462.837;16906.4;14065.436806400272;2840.9631935997295
113;466.429;16900.3;14115.371476580323;2784.928523419676
114;470.019;16931.7;14165.010505225724;2766.6894947742767
115;473.605;16999.0;14214.354571568716;2784.645428431284
116;477.193;16974.4;14263.404382508425;2710.995617491577
117;480.779;17023.3;14312.160672790429;2711.13932720957
118;484.363;17016.1;14360.624204270249;2655.4757957297497
119;487.946;17044.9;14408.795765914789;2636.1042340852127
120;491.528;17259.8;14456.676173245687;2803.123826754312
121;495.108;17318.4;14504.266268145631;2814.13373185437
122;498.687;17402.4;14551.566920528536;2850.8330794714657
123;502.263;17464.1;14598.579028449645;2865.5209715503534
124;505.839;17605.7;14645.303518472527;2960.396481527474
125;509.414;17712.1;14691.741345815943;3020.358654184056
126;512.987;17881.9;14737.893495302618;3144.006504697383
127;516.559;17885.9;14783.76098195886;3102.1390180411418
128;520.127;17973.6;14829.34485225102;3144.255147748978
129;523.697;17854.6;14874.646183666855;2979.9538163331435
130;527.264;18059.4;14919.666085136654;3139.7339148633473
131;530.831;18025.4;14964.405695390244;3060.994304609758
132;534.396;17932.7;15008.866184554783;2923.8338154452176
133;537.957;17748.2;15053.048753367359;2695.151246632642
134;541.519;17484.6;15096.954631803377;2387.6453681966213
135;545.08;17441.2;15140.585076789754;2300.614923210247
136;548.64;17316.0;15183.94136912985;2132.0586308701495
137;552.195;16916.2;15227.024812633175;1689.1751873668254
138;555.752;16832.2;15269.83673242982;1562.363267570181
139;559.307;16631.8;15312.378470541615;1319.4215294583846
140;562.859;16591.3;15354.651384614011;1236.6486153859878
141;566.412;16506.9;15396.656845486677;1110.243154513324
142;569.963;16531.7;15438.396236365756;1093.3037636342451
143;573.51;16512.9;15479.8709515598;1033.0290484402012
144;577.059;16423.6;15521.082396310387;902.5176036896119
145;580.606;16389.4;15562.031986189384;827.3680138106174
146;584.149;16350.1;15602.721145793832;747.3788542061684
147;587.693;16419.2;15643.151307994449;776.0486920055519
148;591.236;16264.6;15683.323913135728;581.2760868642727
149;594.776;16256.4;15723.240409322649;533.1595906773509
150;598.316;16334.7;15762.902250472947;571.7977495270534
151;601.852;16703.4;15802.310895835948;901.0891041640534
152;605.39;17737.4;15841.467810378945;1895.9321896210568
153;608.924;18790.2;15880.374468080114;2909.825531919887
154;612.458;18438.7;15919.032361876956;2519.6676381230445
155;615.991;17173.8;15957.443013805218;1216.3569861947817
156;619.521;16617.0;15995.607971097324;621.3920289026755
157;623.051;16704.3;16033.52879314926;670.771206850739
158;626.578;16809.4;16071.20704557093;738.1929544290706
159;630.106;17003.3;16108.644300679947;894.655699320052
160;633.63;17148.1;16145.842138175847;1002.2578618241514
161;637.155;17065.0;16182.802146704724;882.1978532952762
162;640.677;16962.2;16219.525924935237;742.6740750647641
163;644.199;16818.7;16256.015080358024;562.6849196419771
164;647.718;16588.8;16292.271227890442;296.5287721095574
165;651.237;16612.1;16328.295988076694;283.80401192330464
166;654.754;16631.7;16364.090984426262;267.60901557373836
167;658.27;16770.2;16399.657843286663;370.54215671333804
168;661.784;16757.2;16434.99819368148;322.20180631852054
169;665.296;16744.6;16470.113668339716;274.4863316602823
170;668.808;16786.4;16505.00590321238;281.3940967876224
171;672.318;16847.2;16539.676536995325;307.52346300467616
172;675.828;16836.7;16574.127211198345;262.5727888016554
173;679.334;17040.3;16608.359570406457;431.9404295935419
174;682.839;17083.9;16642.375261830388;441.52473816961356
175;686.345;17218.3;16676.175937000262;542.1240629997374
176;689.848;17236.9;16709.76325186144;527.1367481385605
177;693.351;17340.1;16743.138867780504;596.9611322194942
178;696.851;17452.3;16776.304451395397;675.9955486046019
179;700.349;17538.3;16809.261675313668;729.0383246863312
180;703.848;17598.7;16842.01221890282;756.6877810971819
181;707.344;17744.8;16874.557768820734;870.2422311792652
182;710.838;17830.3;16906.90001929217;923.399980707829
183;714.331;18032.4;16939.0406732443;1093.3593267557007
184;717.825;18121.3;16970.98144283829;1150.3185571617105
185;721.315;18335.9;17002.72405116888;1333.1759488311218
186;724.804;18348.2;17034.27023283399;1313.9297671660097
187;728.294;18396.2;17065.621735763303;1330.5782642366976
188;731.78;18497.3;17096.78032102579;1400.5196789742076
189;735.265;18697.2;17127.747762996205;1569.4522370037957
190;738.749;18948.6;17158.52585005448;1790.074149945518
191;742.233;19161.0;17189.11638627507;1971.883613724931
192;745.714;19470.3;17219.521193633165;2250.778806366834
193;749.194;20042.8;17249.74211382279;2793.0578861772083
194;752.672;20503.8;17279.78101104575;3224.018988954249
195;756.149;21373.9;17309.639777434422;4064.260222565579
196;759.626;23175.7;17339.320337361365;5836.379662638636
197;763.101;27293.3;17368.82465584173;9924.475344158269
198;766.573;39626.9;17398.15475625445;22228.74524374555
199;770.045;64515.0;17427.312761223206;47087.687238776794
200;773.515;64515.0;17456.301015659108;47058.698984340896
201;776.984;64515.0;17485.122335350137;47029.87766464986
202;780.452;64515.0;17513.78000667125;47001.21999332875
203;783.92;57457.7;17542.277786296174;39915.42221370382
204;787.385;31344.6;17570.61990091084;13773.98009908916
205;790.848;27511.1;17598.810976355388;9912.289023644611
206;794.31;27489.3;17626.85577620976;9862.44422379024
207;797.771;26407.9;17654.759163176757;8753.140836823244
208;801.231;26068.1;17682.526098583618;8385.573901416381
209;804.689;22205.6;17710.161631288956;4495.438368711042
210;808.146;19800.6;17737.67089400712;2062.92910599288
211;811.601;19088.1;17765.05906440682;1323.040935593177
212;815.056;18835.7;17792.331340786077;1043.3686592139238
213;818.508;18849.7;17819.492934673293;1030.2070653267074
214;821.96;18504.8;17846.54906803055;658.2509319694509
215;825.41;18428.7;17873.50497312199;555.1950268780092
216;828.859;18484.3;17900.365888794266;583.9341112057336
217;832.307;18425.9;17927.137059445962;498.76294055403923
218;835.753;18338.8;17953.823735315014;384.9762646849849
219;839.198;18334.6;17980.431171626973;354.16882837302546
220;842.642;18227.6;18006.964627457153;220.6353725428453
221;846.084;18243.0;18033.429365422537;209.57063457746335
222;849.525;18213.2;18059.83065034646;153.36934965354158
