;Raman shift;Intensity;Baseline;Corrected Intensity
0;51.3749;6482.67;6840.52313046433;-357.8531304643302
1;55.1317;6482.67;6895.0565310308975;-412.38653103089746
2;58.8869;6954.56;6949.586356644696;4.973643355304375
3;62.6406;7917.89;7004.104912611511;913.785087388489
4;66.3907;8868.78;7058.604504286862;1810.1754957131388
5;70.1415;11267.1;7113.077446164118;4154.022553835883
6;73.8907;14018.2;7167.516070838397;6850.683929161603
7;77.6384;16011.2;7221.912752445038;8789.287247554963
8;81.3847;18523.8;7276.259933626216;11247.540066373784
9;85.1273;21265.8;7330.5501449169715;13935.249855083028
10;88.8705;23245.6;7384.776029327742;15860.823970672256
11;92.6122;24083.6;7438.930369221459;16644.66963077854
12;96.3525;24592.6;7493.006105569294;17099.593894430705
13;100.091;24381.4;7546.9963457891145;16834.403654210888
14;103.826;24160.1;7600.894368294729;16559.20563170527
15;107.562;23800.4;7654.6936198439735;16145.706380156029
16;111.296;23277.3;7708.387712786736;15568.912287213263
17;115.029;22328.8;7761.97042092997;14566.829579070029
18;118.758;21806.1;7815.435673769747;13990.664326230251
19;122.488;21502.1;7868.777546470433;13633.322453529567
20;126.216;21278.1;7921.990254103026;13356.109745896973
21;129.941;20576.0;7975.0681480717485;12600.931851928251
22;133.666;20380.6;8028.0057133419095;12352.594286658088
23;137.39;19810.2;8080.7975608881425;11729.402439111858
24;141.113;19495.0;8133.438425211023;11361.561574788977
25;144.831;19275.7;8185.923158105146;11089.776841894854
26;148.551;18923.0;8238.246724980725;10684.753275019275
27;152.269;18793.8;8290.404202145737;10503.395797854262
28;155.983;18654.7;8342.390772755689;10312.309227244312
29;159.698;18409.2;8394.20172500004;10014.99827499996
30;163.409;18113.4;8445.832450191345;9667.567549808657
31;167.121;17980.8;8497.278439792131;9483.521560207868
32;170.832;17786.4;8548.535281940613;9237.864718059389
33;174.538;17684.2;8599.598659610208;9084.601340389792
34;178.246;17494.8;8650.464348152982;8844.335651847017
35;181.952;17385.2;8701.128213767004;8684.071786232997
36;185.655;17466.6;8751.586211093698;8715.0137889063
37;189.358;17664.2;8801.834381615197;8862.365618384803
38;193.057;18416.0;8851.868853963766;9564.131146036234
39;196.757;19851.7;8901.68584539532;10950.014154604682
40;200.454;24125.0;8951.28166880708;15173.71833119292
41;204.151;26019.4;9000.652746596408;17018.74725340359
42;207.845;22254.6;9049.795652897841;13204.804347102157
43;211.539;17325.3;9098.707132033387;8226.592867966612
44;215.23;16302.2;9147.384060373093;7154.8159396269075
45;218.921;16281.8;9195.823396552933;7085.976603447067
46;222.609;16372.8;9244.022170757033;7128.777829242967
47;226.297;16485.4;9291.977484029278;7193.422515970724
48;229.982;16522.7;9339.686508701328;7183.013491298672
49;233.668;16700.6;9387.146489039067;7313.453510960931
50;237.35;16681.4;9434.354741138506;7247.045258861495
51;241.032;16748.1;9481.308654230184;7266.791345769814
52;244.711;16957.1;9528.005690015088;7429.09430998491
53;248.391;16940.9;9574.443382862113;7366.456617137888
54;252.067;17138.8;9620.619341431091;7518.180658568908
55;255.744;17363.6;9666.531248046418;7697.06875195358
56;259.417;17500.6;9712.176860214297;7788.423139785702
57;263.089;17782.7;9757.554012411614;8025.145987588387
58;266.761;17982.2;9802.66061699949;8179.5393830005105
59;270.43;18164.4;9847.494666590495;8316.905333409506
60;274.099;17865.6;9892.054235592588;7973.54576440741
61;277.765;17640.6;9936.337481582781;7704.2625184172175
62;281.43;17453.6;9980.342641873542;7473.257358126457
63;285.095;17041.1;10024.068030819953;7017.031969180045
64;288.756;16677.8;10067.512037509663;6610.287962490336
65;292.416;16318.6;10110.673121200627;6207.926878799373
66;296.077;15902.2;10153.549807253681;5748.65019274632
67;299.734;15540.0;10196.140683108926;5343.859316891074
68;303.39;15176.6;10238.444393692955;4938.155606307046
69;307.046;14927.8;10280.459637370952;4647.340362629047
70;310.699;14651.0;10322.185161889656;4328.814838110344
71;314.351;14565.0;10363.619761469197;4201.380238530803
72;318.003;14342.2;10404.762273617845;3937.4377263821552
73;321.651;14238.3;10445.611577857671;3792.688422142328
74;325.298;14272.0;10486.166593085118;3785.8334069148823
75;328.944;14238.9;10526.426276123511;3712.4737238764883
76;332.59;14139.2;10566.389621654502;3572.810378345499
77;336.233;14129.3;10606.055661484466;3523.244338515533
78;339.874;14095.2;10645.423463147887;3449.776536852114
79;343.514;14106.4;10684.492129411688;3421.907870588311
80;347.153;13984.8;10723.260797540552;3261.5392024594476
81;350.792;13864.4;10761.728639018236;3102.6713609817634
82;354.428;13901.8;10799.894857943893;3101.9051420561063
83;358.062;13872.1;10837.758689443377;3034.3413105566233
84;361.694;13795.7;10875.319399661583;2920.380600338418
85;365.326;13699.2;10912.576285086818;2786.623714913183
86;368.958;13638.0;10949.528671411184;2688.4713285888156
87;372.586;13696.4;10986.175912193017;2710.2240878069824
88;376.213;13586.4;11022.517387875365;2563.8826121246348
89;379.839;13575.8;11058.552506003509;2517.2474939964904
